Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeID,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionMin,ValueDistributionMax,ValueDistributionRelativeFrequency
,,Arizona/New Mexico Mountains,,,Insect: Low Severity,Insect,2012.0000,2012.0000,13900.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Low Severity,Insect,2013.0000,2013.0000,700.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Low Severity,Insect,2014.0000,2014.0000,300.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Low Severity,Insect,2015.0000,2015.0000,0.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Medium Severity,Insect,2002.0000,2002.0000,65100.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Medium Severity,Insect,2003.0000,2003.0000,91400.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Medium Severity,Insect,2004.0000,2004.0000,12300.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Medium Severity,Insect,2005.0000,2005.0000,4300.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Medium Severity,Insect,2006.0000,2006.0000,6000.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Medium Severity,Insect,2007.0000,2007.0000,4600.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Medium Severity,Insect,2008.0000,2008.0000,6200.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Medium Severity,Insect,2009.0000,2009.0000,600.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Medium Severity,Insect,2010.0000,2010.0000,2800.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Medium Severity,Insect,2011.0000,2011.0000,37200.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Medium Severity,Insect,2012.0000,2012.0000,600.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Medium Severity,Insect,2013.0000,2013.0000,700.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Medium Severity,Insect,2014.0000,2014.0000,1100.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Medium Severity,Insect,2015.0000,2015.0000,800.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Intensification,Intensification,2001.0000,2006.0000,100.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Intensification,Intensification,2007.0000,2012.0000,20.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Intensification,Intensification,2012.0000,2017.0000,0.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Urbanization,Urbanization,2001.0000,2006.0000,500.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Urbanization,Urbanization,2007.0000,2011.0000,480.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Urbanization,Urbanization,2012.0000,2016.0000,100.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Ag Contraction,Ag Change,2001.0000,2006.0000,720.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Ag Contraction,Ag Change,2007.0000,2011.0000,280.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Ag Contraction,Ag Change,2012.0000,2016.0000,60.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Ag Expansion,Ag Change,2001.0000,2006.0000,1340.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Ag Expansion,Ag Change,2007.0000,2011.0000,1940.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Ag Expansion,Ag Change,2012.0000,2016.0000,1040.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2002.0000,2002.0000,14500.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2003.0000,2003.0000,6200.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2004.0000,2004.0000,2700.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2005.0000,2005.0000,0.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2006.0000,2006.0000,2900.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2007.0000,2007.0000,100.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2008.0000,2008.0000,2500.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2009.0000,2009.0000,1100.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2010.0000,2010.0000,26500.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2011.0000,2011.0000,0.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2012.0000,2012.0000,900.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2013.0000,2013.0000,8500.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2014.0000,2014.0000,100.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2015.0000,2015.0000,2000.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2016.0000,2016.0000,2200.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2017.0000,2017.0000,900.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2018.0000,2018.0000,1500.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2019.0000,2019.0000,6000.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Fire,Fire,2020.0000,2020.0000,13900.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Forest Harvest: Forest Clearcut,Forest Harvest,2002.0000,2002.0000,400.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Forest Harvest: Forest Clearcut,Forest Harvest,2003.0000,2003.0000,300.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Forest Harvest: Forest Clearcut,Forest Harvest,2004.0000,2004.0000,200.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Forest Harvest: Forest Clearcut,Forest Harvest,2005.0000,2005.0000,0.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Forest Harvest: Forest Clearcut,Forest Harvest,2006.0000,2006.0000,600.0000,,,,,,
,,Arizona/New Mexico Plateau,,,Forest Harvest: Forest Clearcut,Forest Harvest,2007.0000,2007.0000,900.0000,,,,,,
