ScenarioID,Iteration,Timestep,TertiaryStratumID,StockGroupID,Amount
149,1,2001,National Park Service,DOM: Belowground,542427216.0749862
149,1,2001,National Park Service,DOM: Total,569122290.1229686
149,1,2001,National Park Service,Total Ecosystem,882791953.3499612
149,1,2001,National Park Service,DOM: Deadwood,61860767.297856495
149,1,2001,National Park Service,DOM: Litter,42744133.88306033
149,1,2001,National Park Service,DOM: Soil,464517388.9420521
149,1,2001,National Park Service,DOM: Standing Deadwood,26695074.047982667
149,1,2001,National Park Service,DOM: Down Deadwood,35165693.24987382
149,1,2001,Natural Resources Conservation Service,Atmosphere: CH4 [Type],0
149,1,2001,Natural Resources Conservation Service,Atmosphere: CO2 [Type],0
149,1,2001,Natural Resources Conservation Service,Atmosphere: CO [Type],0
149,1,2001,Natural Resources Conservation Service,Biomass: Coarse Root [Type],2387254.021589458
149,1,2001,Natural Resources Conservation Service,Biomass: Fine Root [Type],484612.21860740334
149,1,2001,Natural Resources Conservation Service,Biomass: Foliage [Type],710903.8187276572
149,1,2001,Natural Resources Conservation Service,Biomass: Merchantable [Type],6874674.867964955
149,1,2001,Natural Resources Conservation Service,Biomass: Other Wood [Type],3615713.664319366
149,1,2001,Natural Resources Conservation Service,DOM: Aboveground Fast [Type],1313089.0193343163
149,1,2001,Natural Resources Conservation Service,DOM: Aboveground Medium [Type],1405874.0101069212
149,1,2001,Natural Resources Conservation Service,DOM: Aboveground Slow [Type],6320884.727668762
149,1,2001,Natural Resources Conservation Service,DOM: Aboveground Very Fast [Type],490352.19011195004
149,1,2001,Natural Resources Conservation Service,DOM: Belowground Fast [Type],275829.6891719103
149,1,2001,Natural Resources Conservation Service,DOM: Belowground Slow [Type],23513391.3772583
149,1,2001,Natural Resources Conservation Service,DOM: Belowground Very Fast [Type],80937.51999726519
149,1,2001,Natural Resources Conservation Service,DOM: Black Carbon [Type],0
149,1,2001,Natural Resources Conservation Service,DOM: Snag Branch [Type],163612.8201353764
149,1,2001,Natural Resources Conservation Service,DOM: Snag Stem [Type],518376.48926149926
149,1,2001,Natural Resources Conservation Service,Forestry Sector [Type],0
149,1,2001,Natural Resources Conservation Service,Atmosphere [Type],0
149,1,2001,Natural Resources Conservation Service,Black Carbon [Type],0
149,1,2001,Natural Resources Conservation Service,Peat [Type],0
149,1,2001,Natural Resources Conservation Service,Biomass: Aboveground,11201292.351011978
149,1,2001,Natural Resources Conservation Service,Biomass: Belowground,2871866.2401968613
149,1,2001,Natural Resources Conservation Service,Biomass: Total,14073158.59120884
149,1,2001,Natural Resources Conservation Service,DOM: Aboveground,681989.3093968756
149,1,2001,Natural Resources Conservation Service,DOM: Belowground,33400358.533649426
149,1,2001,Natural Resources Conservation Service,DOM: Total,34082347.8430463
149,1,2001,Natural Resources Conservation Service,Total Ecosystem,48155506.43425514
149,1,2001,Natural Resources Conservation Service,DOM: Deadwood,2363693.008675707
149,1,2001,Natural Resources Conservation Service,DOM: Litter,1803441.2094462663
149,1,2001,Natural Resources Conservation Service,DOM: Soil,29915213.62492433
149,1,2001,Natural Resources Conservation Service,DOM: Standing Deadwood,681989.3093968756
149,1,2001,Natural Resources Conservation Service,DOM: Down Deadwood,1681703.6992788315
149,1,2001,Non-Governmental Organization,Atmosphere: CH4 [Type],0
149,1,2001,Non-Governmental Organization,Atmosphere: CO2 [Type],0
149,1,2001,Non-Governmental Organization,Atmosphere: CO [Type],0
149,1,2001,Non-Governmental Organization,Biomass: Coarse Root [Type],22759281.45848587
149,1,2001,Non-Governmental Organization,Biomass: Fine Root [Type],3920800.117076002
149,1,2001,Non-Governmental Organization,Biomass: Foliage [Type],6997789.1474455595
149,1,2001,Non-Governmental Organization,Biomass: Merchantable [Type],67746541.18592037
149,1,2001,Non-Governmental Organization,Biomass: Other Wood [Type],37629543.230853975
149,1,2001,Non-Governmental Organization,DOM: Aboveground Fast [Type],14249392.502507567
149,1,2001,Non-Governmental Organization,DOM: Aboveground Medium [Type],12881543.147224188
149,1,2001,Non-Governmental Organization,DOM: Aboveground Slow [Type],66929124.91989136
149,1,2001,Non-Governmental Organization,DOM: Aboveground Very Fast [Type],9364516.73517283
149,1,2001,Non-Governmental Organization,DOM: Belowground Fast [Type],2652057.411250472
149,1,2001,Non-Governmental Organization,DOM: Belowground Slow [Type],209102297.85575867
149,1,2001,Non-Governmental Organization,DOM: Belowground Very Fast [Type],1411971.6208681464
149,1,2001,Non-Governmental Organization,DOM: Black Carbon [Type],0
149,1,2001,Non-Governmental Organization,DOM: Snag Branch [Type],2209458.9234894956
149,1,2001,Non-Governmental Organization,DOM: Snag Stem [Type],6785200.752688959
149,1,2001,Non-Governmental Organization,Forestry Sector [Type],0
149,1,2001,Non-Governmental Organization,Atmosphere [Type],0
149,1,2001,Non-Governmental Organization,Black Carbon [Type],0
149,1,2001,Non-Governmental Organization,Peat [Type],0
149,1,2001,Non-Governmental Organization,Biomass: Aboveground,112373873.5642199
149,1,2001,Non-Governmental Organization,Biomass: Belowground,26680081.575561874
149,1,2001,Non-Governmental Organization,Biomass: Total,139053955.13978177
149,1,2001,Non-Governmental Organization,DOM: Aboveground,8994659.676178455
149,1,2001,Non-Governmental Organization,DOM: Belowground,316590904.1926732
149,1,2001,Non-Governmental Organization,DOM: Total,325585563.86885166
149,1,2001,Non-Governmental Organization,Total Ecosystem,464639519.00863343
149,1,2001,Non-Governmental Organization,DOM: Deadwood,24528260.23465311
149,1,2001,Non-Governmental Organization,DOM: Litter,23613909.237680398
149,1,2001,Non-Governmental Organization,DOM: Soil,277443394.3965182
149,1,2001,Non-Governmental Organization,DOM: Standing Deadwood,8994659.676178455
149,1,2001,Non-Governmental Organization,DOM: Down Deadwood,15533600.55847466
149,1,2001,Other Federal,Atmosphere: CH4 [Type],0
149,1,2001,Other Federal,Atmosphere: CO2 [Type],0
149,1,2001,Other Federal,Atmosphere: CO [Type],0
149,1,2001,Other Federal,Biomass: Coarse Root [Type],6500784.446211159
149,1,2001,Other Federal,Biomass: Fine Root [Type],1254649.1757187992
149,1,2001,Other Federal,Biomass: Foliage [Type],1502510.5794947594
149,1,2001,Other Federal,Biomass: Merchantable [Type],18735545.01755087
149,1,2001,Other Federal,Biomass: Other Wood [Type],9546803.782793134
149,1,2001,Other Federal,DOM: Aboveground Fast [Type],3274531.20187521
149,1,2001,Other Federal,DOM: Aboveground Medium [Type],3539599.3091642857
149,1,2001,Other Federal,DOM: Aboveground Slow [Type],17012935.305166245
149,1,2001,Other Federal,DOM: Aboveground Very Fast [Type],1355084.9493335932
149,1,2001,Other Federal,DOM: Belowground Fast [Type],662163.8087674975
149,1,2001,Other Federal,DOM: Belowground Slow [Type],61431186.322021484
149,1,2001,Other Federal,DOM: Belowground Very Fast [Type],237255.62970349565
149,1,2001,Other Federal,DOM: Black Carbon [Type],0
149,1,2001,Other Federal,DOM: Snag Branch [Type],457580.66091683647
149,1,2001,Other Federal,DOM: Snag Stem [Type],1455887.2889608785
149,1,2001,Other Federal,Forestry Sector [Type],0
149,1,2001,Other Federal,Atmosphere [Type],0
149,1,2001,Other Federal,Black Carbon [Type],0
149,1,2001,Other Federal,Peat [Type],0
149,1,2001,Other Federal,Biomass: Aboveground,29784859.379838765
149,1,2001,Other Federal,Biomass: Belowground,7755433.621929958
149,1,2001,Other Federal,Biomass: Total,37540293.00176872
149,1,2001,Other Federal,DOM: Aboveground,1913467.949877715
149,1,2001,Other Federal,DOM: Belowground,87512756.5260318
149,1,2001,Other Federal,DOM: Total,89426224.47590953
149,1,2001,Other Federal,Total Ecosystem,126966517.47767825
149,1,2001,Other Federal,DOM: Deadwood,6115231.067809498
149,1,2001,Other Federal,DOM: Litter,4629616.151208803
149,1,2001,Other Federal,DOM: Soil,78681377.25689122
149,1,2001,Other Federal,DOM: Standing Deadwood,1913467.949877715
149,1,2001,Other Federal,DOM: Down Deadwood,4201763.117931783
149,1,2001,Private,Atmosphere: CH4 [Type],0
149,1,2001,Private,Atmosphere: CO2 [Type],0
149,1,2001,Private,Atmosphere: CO [Type],0
149,1,2001,Private,Biomass: Coarse Root [Type],5168172.186400043
149,1,2001,Private,Biomass: Fine Root [Type],985696.4976293966
149,1,2001,Private,Biomass: Foliage [Type],1520354.7802504152
149,1,2001,Private,Biomass: Merchantable [Type],15461742.392309912
149,1,2001,Private,Biomass: Other Wood [Type],8568405.505473912
149,1,2001,Private,DOM: Aboveground Fast [Type],2137465.747192502
149,1,2001,Private,DOM: Aboveground Medium [Type],2086262.944751978
149,1,2001,Private,DOM: Aboveground Slow [Type],12462772.675418854
149,1,2001,Private,DOM: Aboveground Very Fast [Type],1351227.4706672877
149,1,2001,Private,DOM: Belowground Fast [Type],355363.52917701006
149,1,2001,Private,DOM: Belowground Slow [Type],44387825.43678284
149,1,2001,Private,DOM: Belowground Very Fast [Type],241555.89979470242
149,1,2001,Private,DOM: Black Carbon [Type],0
149,1,2001,Private,DOM: Snag Branch [Type],445643.1005938677
149,1,2001,Private,DOM: Snag Stem [Type],1221213.3615345345
149,1,2001,Private,Forestry Sector [Type],0
149,1,2001,Private,Atmosphere [Type],0
149,1,2001,Private,Black Carbon [Type],0
149,1,2001,Private,Peat [Type],0
149,1,2001,Private,Biomass: Aboveground,25550502.67803424
149,1,2001,Private,Biomass: Belowground,6153868.6840294395
149,1,2001,Private,Biomass: Total,31704371.36206368
149,1,2001,Private,DOM: Aboveground,1666856.4621284022
149,1,2001,Private,DOM: Belowground,63022473.70378517
149,1,2001,Private,DOM: Total,64689330.165913574
149,1,2001,Private,Total Ecosystem,96393701.52797726
149,1,2001,Private,DOM: Deadwood,4108482.93605739
149,1,2001,Private,DOM: Litter,3488693.2178597897
149,1,2001,Private,DOM: Soil,57092154.011996396
149,1,2001,Private,DOM: Standing Deadwood,1666856.4621284022
149,1,2001,Private,DOM: Down Deadwood,2441626.473928988
149,1,2001,Regional,Atmosphere: CH4 [Type],0
149,1,2001,Regional,Atmosphere: CO2 [Type],0
149,1,2001,Regional,Atmosphere: CO [Type],0
149,1,2001,Regional,Biomass: Coarse Root [Type],4799299.939276278
149,1,2001,Regional,Biomass: Fine Root [Type],939007.0699360222
149,1,2001,Regional,Biomass: Foliage [Type],1779270.365344081
149,1,2001,Regional,Biomass: Merchantable [Type],14814735.96296155
149,1,2001,Regional,Biomass: Other Wood [Type],7937675.555115938
149,1,2001,Regional,DOM: Aboveground Fast [Type],1769592.4577593803
149,1,2001,Regional,DOM: Aboveground Medium [Type],1673972.9719311
149,1,2001,Regional,DOM: Aboveground Slow [Type],9854681.607294083
149,1,2001,Regional,DOM: Aboveground Very Fast [Type],779618.6600212008
149,1,2001,Regional,DOM: Belowground Fast [Type],316263.62934559584
149,1,2001,Regional,DOM: Belowground Slow [Type],39969220.78361511
149,1,2001,Regional,DOM: Belowground Very Fast [Type],97895.97006158438
149,1,2001,Regional,DOM: Black Carbon [Type],0
149,1,2001,Regional,DOM: Snag Branch [Type],382805.4404139286
149,1,2001,Regional,DOM: Snag Stem [Type],1171995.2499949671
149,1,2001,Regional,Forestry Sector [Type],0
149,1,2001,Regional,Atmosphere [Type],0
149,1,2001,Regional,Black Carbon [Type],0
149,1,2001,Regional,Peat [Type],0
149,1,2001,Regional,Biomass: Aboveground,24531681.88342157
149,1,2001,Regional,Biomass: Belowground,5738307.0092123
149,1,2001,Regional,Biomass: Total,30269988.89263387
149,1,2001,Regional,DOM: Aboveground,1554800.6904088957
149,1,2001,Regional,DOM: Belowground,54461246.08002806
149,1,2001,Regional,DOM: Total,56016046.77043696
149,1,2001,Regional,Total Ecosystem,86286035.66307081
149,1,2001,Regional,DOM: Deadwood,3545037.2916855915
149,1,2001,Regional,DOM: Litter,2549211.117780581
149,1,2001,Regional,DOM: Soil,49921798.36097078
149,1,2001,Regional,DOM: Standing Deadwood,1554800.6904088957
149,1,2001,Regional,DOM: Down Deadwood,1990236.6012766957
149,1,2001,State,Atmosphere: CH4 [Type],0
149,1,2001,State,Atmosphere: CO2 [Type],0
149,1,2001,State,Atmosphere: CO [Type],0
149,1,2001,State,Biomass: Coarse Root [Type],195905151.78264827
149,1,2001,State,Biomass: Fine Root [Type],31563170.68229383
149,1,2001,State,Biomass: Foliage [Type],61379768.87810975
149,1,2001,State,Biomass: Merchantable [Type],586921590.8192046
149,1,2001,State,Biomass: Other Wood [Type],308325094.2088895
149,1,2001,State,DOM: Aboveground Fast [Type],101426253.30965817
149,1,2001,State,DOM: Aboveground Medium [Type],103052525.80339909
