ScenarioID,Iteration,Timestep,SecondaryStratumID,StockGroupID,Amount
74,1,2001,Washington,Peat [Type],0
74,1,2001,Washington,Biomass: Aboveground,884626229.9131286
74,1,2001,Washington,Biomass: Belowground,195898081.06284198
74,1,2001,Washington,Biomass: Total,1080524310.9759705
74,1,2001,Washington,DOM: Aboveground,82915530.91962874
74,1,2001,Washington,DOM: Belowground,2216159610.140995
74,1,2001,Washington,DOM: Total,2299075141.0606246
74,1,2001,Washington,Total Ecosystem,3379599452.0365953
74,1,2001,Washington,DOM: Deadwood,235451028.98561597
74,1,2001,Washington,DOM: Litter,159324071.246171
74,1,2001,Washington,DOM: Soil,1904300040.8288367
74,1,2001,Washington,DOM: Standing Deadwood,82915530.91962874
74,1,2001,Washington,DOM: Down Deadwood,152535498.06598723
74,1,2001,Utah,Atmosphere: CH4 [Type],0
74,1,2001,Utah,Atmosphere: CO2 [Type],0
74,1,2001,Utah,Atmosphere: CO [Type],0
74,1,2001,Utah,Biomass: Coarse Root [Type],35529650.24416782
74,1,2001,Utah,Biomass: Fine Root [Type],9482561.227853667
74,1,2001,Utah,Biomass: Foliage [Type],21616109.05192136
74,1,2001,Utah,Biomass: Merchantable [Type],68811409.83987816
74,1,2001,Utah,Biomass: Other Wood [Type],89815278.08430833
74,1,2001,Utah,DOM: Aboveground Fast [Type],38915066.62154198
74,1,2001,Utah,DOM: Aboveground Medium [Type],25779617.065507174
74,1,2001,Utah,DOM: Aboveground Slow [Type],173781288.1556511
74,1,2001,Utah,DOM: Aboveground Very Fast [Type],21682764.69655931
74,1,2001,Utah,DOM: Belowground Fast [Type],6107210.808090866
74,1,2001,Utah,DOM: Belowground Slow [Type],499235816.7034149
74,1,2001,Utah,DOM: Belowground Very Fast [Type],3963185.249327123
74,1,2001,Utah,DOM: Black Carbon [Type],0
74,1,2001,Utah,DOM: Snag Branch [Type],4914294.0598132145
74,1,2001,Utah,DOM: Snag Stem [Type],5383559.704707283
74,1,2001,Utah,Forestry Sector [Type],0
74,1,2001,Utah,Atmosphere [Type],0
74,1,2001,Utah,Black Carbon [Type],0
74,1,2001,Utah,Peat [Type],0
74,1,2001,Utah,Biomass: Aboveground,180242796.97610787
74,1,2001,Utah,Biomass: Belowground,45012211.47202148
74,1,2001,Utah,Biomass: Total,225255008.44812936
74,1,2001,Utah,DOM: Aboveground,10297853.764520502
74,1,2001,Utah,DOM: Belowground,769464949.3000925
74,1,2001,Utah,DOM: Total,779762803.0646112
74,1,2001,Utah,Total Ecosystem,1005017811.5127399
74,1,2001,Utah,DOM: Deadwood,42184681.638118565
74,1,2001,Utah,DOM: Litter,60597831.31810129
74,1,2001,Utah,DOM: Soil,676980290.1083932
74,1,2001,Utah,DOM: Standing Deadwood,10297853.764520502
74,1,2001,Utah,DOM: Down Deadwood,31886827.87359804
74,1,2001,Texas,Atmosphere: CH4 [Type],0
74,1,2001,Texas,Atmosphere: CO2 [Type],0
74,1,2001,Texas,Atmosphere: CO [Type],0
74,1,2001,Texas,Biomass: Coarse Root [Type],16576050.335922837
74,1,2001,Texas,Biomass: Fine Root [Type],5217433.049076982
74,1,2001,Texas,Biomass: Foliage [Type],5054654.343860596
74,1,2001,Texas,Biomass: Merchantable [Type],36926647.343478784
74,1,2001,Texas,Biomass: Other Wood [Type],28159887.150164694
74,1,2001,Texas,DOM: Aboveground Fast [Type],17750456.283789873
74,1,2001,Texas,DOM: Aboveground Medium [Type],18100988.117191195
74,1,2001,Texas,DOM: Aboveground Slow [Type],77951979.05483246
74,1,2001,Texas,DOM: Aboveground Very Fast [Type],3052238.781259954
74,1,2001,Texas,DOM: Belowground Fast [Type],3612472.4293775856
74,1,2001,Texas,DOM: Belowground Slow [Type],286090765.5860901
74,1,2001,Texas,DOM: Belowground Very Fast [Type],521276.98040958494
74,1,2001,Texas,DOM: Black Carbon [Type],0
74,1,2001,Texas,DOM: Snag Branch [Type],865432.6000618865
74,1,2001,Texas,DOM: Snag Stem [Type],1068411.0132832262
74,1,2001,Texas,Forestry Sector [Type],0
74,1,2001,Texas,Atmosphere [Type],0
74,1,2001,Texas,Black Carbon [Type],0
74,1,2001,Texas,Peat [Type],0
74,1,2001,Texas,Biomass: Aboveground,70141188.83750407
74,1,2001,Texas,Biomass: Belowground,21793483.38499982
74,1,2001,Texas,Biomass: Total,91934672.22250389
74,1,2001,Texas,DOM: Aboveground,1933843.6133451127
74,1,2001,Texas,DOM: Belowground,407080177.23295105
74,1,2001,Texas,DOM: Total,409014020.84629554
74,1,2001,Texas,Total Ecosystem,500948693.06879926
74,1,2001,Texas,DOM: Deadwood,23647304.1599139
74,1,2001,Texas,DOM: Litter,20802695.065049827
74,1,2001,Texas,DOM: Soil,364564021.6213323
74,1,2001,Texas,DOM: Standing Deadwood,1933843.6133451127
74,1,2001,Texas,DOM: Down Deadwood,21713460.54656878
74,1,2001,Colorado,Atmosphere: CH4 [Type],0
74,1,2001,Colorado,Atmosphere: CO2 [Type],0
74,1,2001,Colorado,Atmosphere: CO [Type],0
74,1,2001,Colorado,Biomass: Coarse Root [Type],78626912.9945061
74,1,2001,Colorado,Biomass: Fine Root [Type],15972618.889551401
74,1,2001,Colorado,Biomass: Foliage [Type],36881900.01797895
74,1,2001,Colorado,Biomass: Merchantable [Type],211084805.49967873
74,1,2001,Colorado,Biomass: Other Wood [Type],146797197.11399475
74,1,2001,Colorado,DOM: Aboveground Fast [Type],68934028.62554789
74,1,2001,Colorado,DOM: Aboveground Medium [Type],49983554.35934663
74,1,2001,Colorado,DOM: Aboveground Slow [Type],293276740.7540798
74,1,2001,Colorado,DOM: Aboveground Very Fast [Type],43897907.72521198
74,1,2001,Colorado,DOM: Belowground Fast [Type],11883030.06592989
74,1,2001,Colorado,DOM: Belowground Slow [Type],829400172.6127625
74,1,2001,Colorado,DOM: Belowground Very Fast [Type],8089038.6703372
74,1,2001,Colorado,DOM: Black Carbon [Type],0
74,1,2001,Colorado,DOM: Snag Branch [Type],8447057.7281451
74,1,2001,Colorado,DOM: Snag Stem [Type],15607275.466556633
74,1,2001,Colorado,Forestry Sector [Type],0
74,1,2001,Colorado,Atmosphere [Type],0
74,1,2001,Colorado,Black Carbon [Type],0
74,1,2001,Colorado,Peat [Type],0
74,1,2001,Colorado,Biomass: Aboveground,394763902.6316524
74,1,2001,Colorado,Biomass: Belowground,94599531.88405752
74,1,2001,Colorado,Biomass: Total,489363434.5157101
74,1,2001,Colorado,DOM: Aboveground,24054333.19470173
74,1,2001,Colorado,DOM: Belowground,1305464472.8132157
74,1,2001,Colorado,DOM: Total,1329518806.0079157
74,1,2001,Colorado,Total Ecosystem,1818882240.5236218
74,1,2001,Colorado,DOM: Deadwood,85920917.61997826
74,1,2001,Colorado,DOM: Litter,112831936.35075986
74,1,2001,Colorado,DOM: Soil,1130765952.0371795
